candidate_id,rank,score,reasoning
CAND_0073007,1,0.8012762497257483,"Excellent Match 
Strengths: 5.75y building production ML systems | 4.17y developing ranking systems | 4.17y in search and retrieval | product experience at Aganitha
Alignment: matched 3 required skills | within target experience range
Considerations: no mention of eval metrics (NDCG/MAP)
 Excellent alignment across technical and production requirements."
CAND_0055992,2,0.7634003774118875,"Excellent Match 
Strengths: 6.67y building production ML systems | 4.08y developing ranking systems | 5.33y in search and retrieval | hands-on experience with 3 vector database technologies | product experience at CRED
Alignment: matched 9 required skills | within target experience range
Considerations: no critical gaps
 Highly aligned with the uploaded JD."
CAND_0055905,3,0.7618260059080707,"Excellent Match 
Strengths: 8.0y building production ML systems | 6.83y developing ranking systems | 4.92y in search and retrieval | hands-on experience with 1 vector database technologies | product experience at Flipkart
Alignment: matched 7 required skills | matched 2 preferred skills | within target experience range
Considerations: no critical gaps
 Strong overall fit with minimal trade-offs."
CAND_0046924,4,0.7293552505238645,"Excellent Match 
Strengths: 6.17y building production ML systems | 4.17y developing ranking systems | 4.17y in search and retrieval | product experience at PharmEasy
Alignment: matched 3 required skills | within target experience range
Considerations: very long notice period (120d) may delay hiring | no mention of eval metrics (NDCG/MAP)
 Excellent alignment across technical and production requirements."
CAND_0069771,5,0.7227481778110911,"Excellent Match 
Strengths: 5.67y building production ML systems | 3.67y developing ranking systems | 3.67y in search and retrieval | product experience at Sarvam AI
Alignment: matched 3 required skills | within target experience range
Considerations: no mention of eval metrics (NDCG/MAP)
 Strong overall fit with minimal trade-offs."
CAND_0066798,6,0.7199835022797771,"Excellent Match 
Strengths: 5.08y building production ML systems | 4.5y developing ranking systems | 4.5y in search and retrieval | product experience at Zoho
Alignment: matched 3 required skills | within target experience range
Considerations: no mention of eval metrics (NDCG/MAP)
 Recommended for immediate recruiter review."
CAND_0097896,7,0.712336306126674,"Excellent Match 
Strengths: 4.67y building production ML systems | 3.33y developing ranking systems | 3.33y in search and retrieval | product experience at upGrad
Alignment: matched 3 required skills
Considerations: slightly below preferred experience range (4.7y vs 5-9y) | very long notice period (120d) may delay hiring | no mention of eval metrics (NDCG/MAP)
 Recommended for immediate recruiter review."
CAND_0039308,8,0.7100820110356231,"Excellent Match 
Strengths: 5.5y building production ML systems | 3.17y developing ranking systems | 3.17y in search and retrieval | product experience at BYJU'S
Alignment: matched 3 required skills | within target experience range
Considerations: very long notice period (120d) may delay hiring | no mention of eval metrics (NDCG/MAP)
 Recommended for immediate recruiter review."
CAND_0066309,9,0.7067506090466418,"Excellent Match 
Strengths: 5.25y building production ML systems | 1.5y developing ranking systems | 1.5y in search and retrieval | product experience at PharmEasy
Alignment: matched 3 required skills | within target experience range
Considerations: extended notice period (90d) | no mention of eval metrics (NDCG/MAP)
 Strong overall fit with minimal trade-offs."
CAND_0050454,10,0.6997493613564658,"Excellent Match 
Strengths: 6.75y building production ML systems | 1.67y developing ranking systems | 6.75y in search and retrieval | hands-on experience with 2 vector database technologies | product experience at Rephrase.ai
Alignment: matched 6 required skills | within target experience range
Considerations: no mention of eval metrics (NDCG/MAP)
 Highly aligned with the uploaded JD."
CAND_0043860,11,0.6947175638234616,"Strong Match 
Strengths: 6.08y building production ML systems | 4.0y developing ranking systems | 4.0y in search and retrieval | product experience at Aganitha
Alignment: matched 3 required skills | within target experience range
Considerations: no mention of eval metrics (NDCG/MAP)
 Strong technical fit with a few manageable gaps."
CAND_0001218,12,0.6940331013462732,"Strong Match 
Strengths: 6.25y building production ML systems | 4.42y developing ranking systems | 4.42y in search and retrieval | product experience at Nykaa
Alignment: matched 3 required skills | within target experience range
Considerations: extended notice period (90d) | no mention of eval metrics (NDCG/MAP)
 Strong technical fit with a few manageable gaps."
CAND_0035315,13,0.6934975705169257,"Strong Match 
Strengths: 4.83y building production ML systems | 4.08y developing ranking systems | 4.08y in search and retrieval | product experience at Zoho
Alignment: matched 3 required skills
Considerations: slightly below preferred experience range (4.8y vs 5-9y) | very long notice period (120d) may delay hiring | no mention of eval metrics (NDCG/MAP)
 Worth progressing to technical interviews."
CAND_0046526,14,0.6930581822356632,"Strong Match 
Strengths: 5.42y building production ML systems | 3.58y developing ranking systems | 3.58y in search and retrieval | product experience at Ola
Alignment: matched 3 required skills | within target experience range
Considerations: extended notice period (90d) | no mention of eval metrics (NDCG/MAP)
 Recommended for further evaluation."
CAND_0009516,15,0.6842785455380697,"Strong Match 
Strengths: 6.83y building production ML systems | 2.75y developing ranking systems | 2.75y in search and retrieval | product experience at Verloop.io
Alignment: matched 3 required skills | within target experience range
Considerations: no mention of eval metrics (NDCG/MAP)
 Worth progressing to technical interviews."
